#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	G3
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
6	CRIMSON	33.17
8	CRIMSON	34.4
9	CRIMSON	35.12
38	CRIMSON	34.53
48	CRIMSON	35.46
273	CRIMSON	22.33
274	CRIMSON	35.61
275	CRIMSON	35.02
276	CRIMSON	33.5
277	CRIMSON	33.06
278	CRIMSON	33
279	CRIMSON	33.68
280	CRIMSON	32.91
281	CRIMSON	32.97
282	CRIMSON	32.99
283	CRIMSON	32.76
284	CRIMSON	31.47
285	CRIMSON	35.48
286	CRIMSON	35.19
287	CRIMSON	34.68
288	CRIMSON	36.27
289	CRIMSON	35.51
290	CRIMSON	35.68
291	CRIMSON	35.27
292	CRIMSON	34.17
293	CRIMSON	35.48
294	CRIMSON	34.74
295	CRIMSON	32.65
296	CRIMSON	34.63
297	CRIMSON	33.37
298	CRIMSON	34.95
299	CRIMSON	33.62
300	CRIMSON	35.64
301	CRIMSON	33.3
302	CRIMSON	34.25
303	CRIMSON	33.16
304	CRIMSON	34.99
305	CRIMSON	34.67
306	CRIMSON	35.19
307	CRIMSON	34.9
308	CRIMSON	37.58
309	CRIMSON	35.31
310	CRIMSON	36.57
311	CRIMSON	35.47
312	CRIMSON	36.12
313	CRIMSON	33.48
314	CRIMSON	35.99
315	CRIMSON	34.78
316	CRIMSON	36.88
317	CRIMSON	34.51
318	CRIMSON	33.82
319	CRIMSON	34.96
320	CRIMSON	34.85
321	CRIMSON	34.16
322	CRIMSON	35.19
323	CRIMSON	33.47
324	CRIMSON	34.67
325	CRIMSON	35.75
326	CRIMSON	34.94
327	CRIMSON	35.5
328	CRIMSON	35.12
329	CRIMSON	35.75
330	CRIMSON	35.69
331	CRIMSON	34.74
332	CRIMSON	36.9
333	CRIMSON	33.95
334	CRIMSON	34.81
335	CRIMSON	35.39
336	CRIMSON	36.47
337	CRIMSON	34.94
338	CRIMSON	34.31
339	CRIMSON	34.32
546	CRIMSON	35.36
547	CRIMSON	34.1
548	CRIMSON	33.24
549	CRIMSON	36.39
550	CRIMSON	35.71
551	CRIMSON	35.31
552	CRIMSON	36.5
553	CRIMSON	34.98
554	CRIMSON	36.83
555	CRIMSON	36.55
556	CRIMSON	37.38
557	CRIMSON	36.09
558	CRIMSON	35.53
559	CRIMSON	34.43
560	CRIMSON	35.07
561	CRIMSON	33.84
562	CRIMSON	36.26
563	CRIMSON	33.7
564	CRIMSON	35.98
565	CRIMSON	33.05
566	CRIMSON	36.08
567	CRIMSON	36.26
568	CRIMSON	36.4
569	CRIMSON	35.37
570	CRIMSON	37.03
571	CRIMSON	35.68
572	CRIMSON	36.31
573	CRIMSON	35.08
574	CRIMSON	36.14
575	CRIMSON	36.34
576	CRIMSON	34.27
577	CRIMSON	36.28
578	CRIMSON	34.24
579	CRIMSON	35.87
580	CRIMSON	35.85
581	CRIMSON	35.37
582	CRIMSON	35.64
583	CRIMSON	34.02
584	CRIMSON	35.25
585	CRIMSON	34.38
586	CRIMSON	35.44
587	CRIMSON	34.21
588	CRIMSON	34.01
589	CRIMSON	35.69
590	CRIMSON	36.86
591	CRIMSON	36.79
592	CRIMSON	35.31
593	CRIMSON	37.53
594	CRIMSON	35.84
595	CRIMSON	34.1
596	CRIMSON	36.19
597	CRIMSON	35.56
598	CRIMSON	34.75
599	CRIMSON	34.95
600	CRIMSON	35.13
601	CRIMSON	35.37
602	CRIMSON	35.11
603	CRIMSON	34.89
604	CRIMSON	35.15
605	CRIMSON	35.34
606	CRIMSON	33.18
607	CRIMSON	35.3
608	CRIMSON	32.6
609	CRIMSON	34.4
610	CRIMSON	35.95
611	CRIMSON	35
612	CRIMSON	35.38
817	CRIMSON	35.97
818	CRIMSON	36.35
819	CRIMSON	37.53
820	CRIMSON	35.56
821	CRIMSON	34.7
822	CRIMSON	35.88
823	CRIMSON	36.2
824	CRIMSON	34.21
825	CRIMSON	33.06
826	CRIMSON	36.25
827	CRIMSON	33.04
828	CRIMSON	32.41
829	CRIMSON	36.45
830	CRIMSON	36.13
831	CRIMSON	36.16
832	CRIMSON	36.62
833	CRIMSON	36.33
834	CRIMSON	36.46
835	CRIMSON	35.99
836	CRIMSON	34.72
837	CRIMSON	35.71
838	CRIMSON	36.02
839	CRIMSON	33.24
840	CRIMSON	36.17
841	CRIMSON	33.78
842	CRIMSON	34.56
843	CRIMSON	33.91
844	CRIMSON	35.65
845	CRIMSON	33.15
846	CRIMSON	36.4
847	CRIMSON	35.95
848	CRIMSON	36.44
849	CRIMSON	35.85
850	CRIMSON	37.94
851	CRIMSON	36.27
852	CRIMSON	36.14
853	CRIMSON	36.91
854	CRIMSON	36.88
855	CRIMSON	37.02
856	CRIMSON	37.12
857	CRIMSON	35.59
858	CRIMSON	37.11
859	CRIMSON	35.87
860	CRIMSON	37.89
861	CRIMSON	36.71
862	CRIMSON	36.43
863	CRIMSON	36.18
864	CRIMSON	36.49
865	CRIMSON	34.03
866	CRIMSON	35.36
867	CRIMSON	35.38
868	CRIMSON	34.87
869	CRIMSON	36.26
870	CRIMSON	36.24
871	CRIMSON	36.57
872	CRIMSON	36.74
873	CRIMSON	35.17
874	CRIMSON	37.6
875	CRIMSON	36.33
876	CRIMSON	37.68
877	CRIMSON	37.64
878	CRIMSON	36.61
879	CRIMSON	36.52
880	CRIMSON	36.1
881	CRIMSON	35.42
882	CRIMSON	36.06
883	CRIMSON	36.12
1090	CRIMSON	33.88
1091	CRIMSON	33
1092	CRIMSON	34.85
1093	CRIMSON	32.38
1094	CRIMSON	35.9
1095	CRIMSON	34.24
1096	CRIMSON	35.63
1097	CRIMSON	35.32
1098	CRIMSON	35.02
1099	CRIMSON	35.23
1100	CRIMSON	36.23
1101	CRIMSON	33.68
1102	CRIMSON	32.88
1103	CRIMSON	33.33
1104	CRIMSON	33.59
1105	CRIMSON	31.89
1106	CRIMSON	34.63
1107	CRIMSON	33.77
1108	CRIMSON	34.24
1109	CRIMSON	34.86
1110	CRIMSON	34.8
1111	CRIMSON	35.61
1112	CRIMSON	35.91
1113	CRIMSON	35.87
1114	CRIMSON	36.65
1115	CRIMSON	34.86
1116	CRIMSON	35.95
1117	CRIMSON	35.11
1118	CRIMSON	35.06
1119	CRIMSON	34.38
1120	CRIMSON	33.7
1121	CRIMSON	33.84
1122	CRIMSON	33.66
1123	CRIMSON	34.43
1124	CRIMSON	34.66
1125	CRIMSON	33.36
1126	CRIMSON	33.77
1127	CRIMSON	33.63
1128	CRIMSON	34.8
1129	CRIMSON	34.04
1130	CRIMSON	36.22
1131	CRIMSON	32.21
1132	CRIMSON	35.05
1133	CRIMSON	36.13
1134	CRIMSON	35.88
1135	CRIMSON	36.77
1136	CRIMSON	35.94
1137	CRIMSON	36.65
1138	CRIMSON	35.98
1139	CRIMSON	35.4
1140	CRIMSON	36.46
1141	CRIMSON	34.84
1142	CRIMSON	34.13
1143	CRIMSON	35.08
1144	CRIMSON	33.82
1145	CRIMSON	34.23
1146	CRIMSON	33.79
1147	CRIMSON	34.75
1148	CRIMSON	33.91
1149	CRIMSON	34.71
1150	CRIMSON	32.16
1151	CRIMSON	36.46
1152	CRIMSON	32.53
1153	CRIMSON	36.66
1154	CRIMSON	35.53
1155	CRIMSON	36.6
1156	CRIMSON	36.27
1361	CRIMSON	33.12
1362	CRIMSON	33.26
1363	CRIMSON	36.02
1364	CRIMSON	35.63
1365	CRIMSON	35.47
1366	CRIMSON	34.99
1367	CRIMSON	34.96
1368	CRIMSON	33.96
1369	CRIMSON	32.07
1370	CRIMSON	33.63
1371	CRIMSON	34.28
1372	CRIMSON	32.48
1373	CRIMSON	36.12
1374	CRIMSON	34.93
1375	CRIMSON	34.51
1376	CRIMSON	34.83
1377	CRIMSON	35.23
1378	CRIMSON	34.23
1379	CRIMSON	34.98
1380	CRIMSON	34.96
1381	CRIMSON	33.97
1382	CRIMSON	34.69
1383	CRIMSON	32.9
1384	CRIMSON	34.1
1385	CRIMSON	34.58
1386	CRIMSON	34.09
1387	CRIMSON	33.92
1388	CRIMSON	36.04
1389	CRIMSON	33.09
1390	CRIMSON	33.95
1391	CRIMSON	36.09
1392	CRIMSON	36.52
1393	CRIMSON	36.04
1394	CRIMSON	37.16
1395	CRIMSON	35.27
1396	CRIMSON	36.29
1397	CRIMSON	35.92
1398	CRIMSON	35.16
1399	CRIMSON	35.88
1400	CRIMSON	34.56
1401	CRIMSON	34.48
1402	CRIMSON	35.52
1403	CRIMSON	35.2
1404	CRIMSON	36.05
1405	CRIMSON	35.21
1406	CRIMSON	34.5
1407	CRIMSON	35.19
1408	CRIMSON	35.16
1409	CRIMSON	33.04
1410	CRIMSON	34.55
1411	CRIMSON	33.61
1412	CRIMSON	33.77
1413	CRIMSON	35.88
1414	CRIMSON	36.38
1415	CRIMSON	35.36
1416	CRIMSON	35.23
1417	CRIMSON	34.8
1418	CRIMSON	36.49
1419	CRIMSON	35.06
1420	CRIMSON	34.86
1421	CRIMSON	34.79
1422	CRIMSON	35.3
1423	CRIMSON	34.86
1424	CRIMSON	34.66
1425	CRIMSON	33.76
1426	CRIMSON	34.31
1427	CRIMSON	34.14
1634	CRIMSON	33.12
1635	CRIMSON	33.03
1636	CRIMSON	32.4
1637	CRIMSON	33.73
1638	CRIMSON	34.94
1639	CRIMSON	31.63
1640	CRIMSON	36.92
1641	CRIMSON	35.81
1642	CRIMSON	35.79
1643	CRIMSON	36.09
1644	CRIMSON	37.08
1645	CRIMSON	36.01
1646	CRIMSON	36.16
1647	CRIMSON	35.3
1648	CRIMSON	35.52
1649	CRIMSON	33.71
1650	CRIMSON	35.52
1651	CRIMSON	33.62
1652	CRIMSON	37.03
1653	CRIMSON	32.59
1654	CRIMSON	37.03
1655	CRIMSON	36.68
1656	CRIMSON	37.85
1657	CRIMSON	37.91
1658	CRIMSON	37.83
1659	CRIMSON	35.04
1660	CRIMSON	36.81
1661	CRIMSON	35.78
1662	CRIMSON	35.71
1663	CRIMSON	36.57
1664	CRIMSON	34.51
1665	CRIMSON	35.9
1666	CRIMSON	35.75
1667	CRIMSON	34.95
1668	CRIMSON	35.71
1669	CRIMSON	35.08
1670	CRIMSON	35.02
1671	CRIMSON	34.09
1672	CRIMSON	34.26
1673	CRIMSON	34.75
1674	CRIMSON	36.71
1675	CRIMSON	31.77
1676	CRIMSON	39.69
1677	CRIMSON	36.34
1678	CRIMSON	36.84
1679	CRIMSON	36.67
1680	CRIMSON	36.69
1681	CRIMSON	37.3
1682	CRIMSON	36.12
1683	CRIMSON	35.68
1684	CRIMSON	36.16
1685	CRIMSON	35.71
1686	CRIMSON	36.69
1687	CRIMSON	37.3
1688	CRIMSON	36.23
1689	CRIMSON	36.8
1690	CRIMSON	35.99
1691	CRIMSON	34.79
1692	CRIMSON	34.74
1693	CRIMSON	35.83
1694	CRIMSON	33.74
1695	CRIMSON	36.49
1696	CRIMSON	36.07
1697	CRIMSON	32.36
1698	CRIMSON	35.78
1699	CRIMSON	36.7
1700	CRIMSON	36.46
1905	CRIMSON	32.94
1906	CRIMSON	33.85
1907	CRIMSON	35.84
1908	CRIMSON	34.55
1909	CRIMSON	34.92
1910	CRIMSON	35.6
1911	CRIMSON	34.65
1912	CRIMSON	34.61
1913	CRIMSON	33.97
1914	CRIMSON	33.98
1915	CRIMSON	33.57
1916	CRIMSON	32.91
1917	CRIMSON	35.62
1918	CRIMSON	35.24
1919	CRIMSON	36.29
1920	CRIMSON	36.71
1921	CRIMSON	36.08
1922	CRIMSON	35.99
1923	CRIMSON	36.48
1924	CRIMSON	34.98
1925	CRIMSON	35.12
1926	CRIMSON	34.74
1927	CRIMSON	33.75
1928	CRIMSON	34.84
1929	CRIMSON	33.66
1930	CRIMSON	36.08
1931	CRIMSON	33.62
1932	CRIMSON	35.69
1933	CRIMSON	35.76
1934	CRIMSON	35.26
1935	CRIMSON	35.65
1936	CRIMSON	37.1
1937	CRIMSON	35.93
1938	CRIMSON	34.97
1939	CRIMSON	35.95
1940	CRIMSON	36.69
1941	CRIMSON	36.62
1942	CRIMSON	35.36
1943	CRIMSON	35.84
1944	CRIMSON	36.25
1945	CRIMSON	34.95
1946	CRIMSON	36
1947	CRIMSON	35.5
1948	CRIMSON	35.92
1949	CRIMSON	35.61
1950	CRIMSON	35.04
1951	CRIMSON	34.57
1952	CRIMSON	34.49
1953	CRIMSON	33.06
1954	CRIMSON	32.7
1955	CRIMSON	33.06
1956	CRIMSON	32.05
1957	CRIMSON	36.19
1958	CRIMSON	35.89
1959	CRIMSON	36.34
1960	CRIMSON	36.13
1961	CRIMSON	36.52
1962	CRIMSON	36.37
1963	CRIMSON	36.52
1964	CRIMSON	36.68
1965	CRIMSON	36.07
1966	CRIMSON	35.74
1967	CRIMSON	34.87
1968	CRIMSON	35.66
1969	CRIMSON	34.58
1970	CRIMSON	33.44
1971	CRIMSON	34.76
2178	CRIMSON	31.71
2179	CRIMSON	34.77
2180	CRIMSON	32.03
2181	CRIMSON	35.55
2182	CRIMSON	34.81
2183	CRIMSON	35
2184	CRIMSON	34.01
2185	CRIMSON	34.47
2186	CRIMSON	35.46
2187	CRIMSON	35.39
2188	CRIMSON	35.98
2189	CRIMSON	34.38
2190	CRIMSON	34.78
2191	CRIMSON	34.58
2192	CRIMSON	34.1
2193	CRIMSON	33.79
2194	CRIMSON	33.94
2195	CRIMSON	33.17
2196	CRIMSON	33.21
2197	CRIMSON	35.09
2198	CRIMSON	35.6
2199	CRIMSON	35.11
2200	CRIMSON	35.62
2201	CRIMSON	35.84
2202	CRIMSON	36.24
2203	CRIMSON	34.62
2204	CRIMSON	36.17
2205	CRIMSON	35.06
2206	CRIMSON	35.36
2207	CRIMSON	35.74
2208	CRIMSON	33.16
2209	CRIMSON	34.81
2210	CRIMSON	35.51
2211	CRIMSON	33.02
2212	CRIMSON	34.98
2213	CRIMSON	33.64
2214	CRIMSON	34.15
2215	CRIMSON	34.6
2216	CRIMSON	34.97
2217	CRIMSON	34.35
2218	CRIMSON	35.7
2219	CRIMSON	35.19
2220	CRIMSON	36.58
2221	CRIMSON	35.02
2222	CRIMSON	34.87
2223	CRIMSON	37.06
2224	CRIMSON	35.31
2225	CRIMSON	37.08
2226	CRIMSON	36.76
2227	CRIMSON	35.61
2228	CRIMSON	35.82
2229	CRIMSON	35.95
2230	CRIMSON	33.61
2231	CRIMSON	35.26
2232	CRIMSON	34.3
2233	CRIMSON	35.18
2234	CRIMSON	34.11
2235	CRIMSON	34.23
2236	CRIMSON	32.35
2237	CRIMSON	36.66
2238	CRIMSON	32.74
2239	CRIMSON	36.34
2240	CRIMSON	35.75
2241	CRIMSON	33.9
2242	CRIMSON	35.28
2243	CRIMSON	35.54
2244	CRIMSON	36.16
2449	CRIMSON	35.52
2450	CRIMSON	36.01
2451	CRIMSON	37.82
2452	CRIMSON	35.37
2453	CRIMSON	34.9
2454	CRIMSON	36.18
2455	CRIMSON	36.7
2456	CRIMSON	34.46
2457	CRIMSON	34.48
2458	CRIMSON	35.24
2459	CRIMSON	34.24
2460	CRIMSON	32.81
2461	CRIMSON	35.57
2462	CRIMSON	36.41
2463	CRIMSON	35.4
2464	CRIMSON	36.49
2465	CRIMSON	36.54
2466	CRIMSON	35.37
2467	CRIMSON	35.58
2468	CRIMSON	35.32
2469	CRIMSON	34.62
2470	CRIMSON	35.55
2471	CRIMSON	35.18
2472	CRIMSON	35.79
2473	CRIMSON	35.15
2474	CRIMSON	34.58
2475	CRIMSON	35.77
2476	CRIMSON	32.92
2477	CRIMSON	33.17
2478	CRIMSON	36.14
2479	CRIMSON	35.98
2480	CRIMSON	37.81
2481	CRIMSON	35.43
2482	CRIMSON	37.71
2483	CRIMSON	36.78
2484	CRIMSON	37.09
2485	CRIMSON	36.91
2486	CRIMSON	35.01
2487	CRIMSON	36.03
2488	CRIMSON	37.3
2489	CRIMSON	35.44
2490	CRIMSON	36.28
2491	CRIMSON	35.56
2492	CRIMSON	35.4
2493	CRIMSON	36.06
2494	CRIMSON	35.42
2495	CRIMSON	35.18
2496	CRIMSON	35.83
2497	CRIMSON	33.85
2498	CRIMSON	35.1
2499	CRIMSON	36.09
2500	CRIMSON	33.08
2501	CRIMSON	35.88
2502	CRIMSON	35.6
2503	CRIMSON	32.4
2504	CRIMSON	37.4
2505	CRIMSON	35.64
2506	CRIMSON	37.55
2507	CRIMSON	36.23
2508	CRIMSON	35.5
2509	CRIMSON	36.42
2510	CRIMSON	36.1
2511	CRIMSON	34.21
2512	CRIMSON	36.68
2513	CRIMSON	35.38
2514	CRIMSON	34.23
2515	CRIMSON	34.4
2722	CRIMSON	32.07
2723	CRIMSON	35.14
2724	CRIMSON	34.76
2725	CRIMSON	35.38
2726	CRIMSON	35.02
2727	CRIMSON	35.94
2728	CRIMSON	34.36
2729	CRIMSON	36.53
2730	CRIMSON	37.57
2731	CRIMSON	34.92
2732	CRIMSON	36.25
2733	CRIMSON	35.89
2734	CRIMSON	34.73
2735	CRIMSON	35.97
2736	CRIMSON	35.76
2737	CRIMSON	33.57
2738	CRIMSON	33.97
2739	CRIMSON	33.27
2740	CRIMSON	34.91
2741	CRIMSON	36.47
2742	CRIMSON	36.63
2743	CRIMSON	36.68
2744	CRIMSON	37.31
2745	CRIMSON	36.16
2746	CRIMSON	37.31
2747	CRIMSON	35.76
2748	CRIMSON	36.81
2749	CRIMSON	36.18
2750	CRIMSON	34.06
2751	CRIMSON	36.06
2752	CRIMSON	34.57
2753	CRIMSON	35.13
2754	CRIMSON	36.18
2755	CRIMSON	33.33
2756	CRIMSON	34.85
2757	CRIMSON	35.23
2758	CRIMSON	34.94
2759	CRIMSON	34.14
2760	CRIMSON	33.27
2761	CRIMSON	33.24
2762	CRIMSON	35.86
2763	CRIMSON	36.5
2764	CRIMSON	37.17
2765	CRIMSON	37.04
2766	CRIMSON	36.07
2767	CRIMSON	37.17
2768	CRIMSON	35.11
2769	CRIMSON	35.9
2770	CRIMSON	36.44
2771	CRIMSON	36.24
2772	CRIMSON	37.06
2773	CRIMSON	36.76
2774	CRIMSON	35.53
2775	CRIMSON	37.03
2776	CRIMSON	35.79
2777	CRIMSON	36.29
2778	CRIMSON	35.29
2779	CRIMSON	35.76
2780	CRIMSON	34.72
2781	CRIMSON	34.4
2782	CRIMSON	33.8
2783	CRIMSON	36.64
2784	CRIMSON	36.2
2785	CRIMSON	35.77
2786	CRIMSON	36.63
2787	CRIMSON	36.56
2788	CRIMSON	36.12
2993	CRIMSON	21.31
2994	CRIMSON	34.47
2995	CRIMSON	32.67
2996	CRIMSON	34.55
2997	CRIMSON	34.44
2998	CRIMSON	33.23
2999	CRIMSON	34.63
3000	CRIMSON	34.19
3001	CRIMSON	33.96
3002	CRIMSON	34.56
3003	CRIMSON	33.7
3004	CRIMSON	33.39
3005	CRIMSON	35.26
3006	CRIMSON	35.55
3007	CRIMSON	35.81
3008	CRIMSON	36.48
3009	CRIMSON	36.2
3010	CRIMSON	34.71
3011	CRIMSON	35.4
3012	CRIMSON	34.29
3013	CRIMSON	33.35
3014	CRIMSON	34.85
3015	CRIMSON	33.8
3016	CRIMSON	33.47
3017	CRIMSON	33.32
3018	CRIMSON	35.43
3019	CRIMSON	35.15
3020	CRIMSON	34.99
3021	CRIMSON	35.55
3022	CRIMSON	34.84
3023	CRIMSON	35.89
3024	CRIMSON	34.67
3025	CRIMSON	35.54
3026	CRIMSON	36.56
3027	CRIMSON	36.67
3028	CRIMSON	35.9
3029	CRIMSON	35.95
3030	CRIMSON	35.02
3031	CRIMSON	35.89
3032	CRIMSON	36.77
3033	CRIMSON	34.4
3034	CRIMSON	36.84
3035	CRIMSON	34.9
3036	CRIMSON	34.92
3037	CRIMSON	35.3
3038	CRIMSON	35.18
3039	CRIMSON	33.47
3040	CRIMSON	35.51
3041	CRIMSON	34.48
3042	CRIMSON	34.64
3043	CRIMSON	36.3
3044	CRIMSON	36.37
3045	CRIMSON	35.79
3046	CRIMSON	35.59
3047	CRIMSON	35.28
3048	CRIMSON	36.84
3049	CRIMSON	36.1
3050	CRIMSON	35.55
3051	CRIMSON	34.91
3052	CRIMSON	35.45
3053	CRIMSON	35.75
3054	CRIMSON	35.12
3055	CRIMSON	34.95
3056	CRIMSON	34.95
3057	CRIMSON	35.66
3058	CRIMSON	34.06
3059	CRIMSON	35.24
3266	CRIMSON	34.23
3267	CRIMSON	34.35
3268	CRIMSON	35.63
3269	CRIMSON	32.74
3270	CRIMSON	34.73
3271	CRIMSON	35.95
3272	CRIMSON	35.44
3273	CRIMSON	35.6
3274	CRIMSON	36.57
3275	CRIMSON	34.4
3276	CRIMSON	36.04
3277	CRIMSON	35.94
3278	CRIMSON	36.53
3279	CRIMSON	34.78
3280	CRIMSON	35.58
3281	CRIMSON	34.23
3282	CRIMSON	34.46
3283	CRIMSON	33.47
3284	CRIMSON	32.24
3285	CRIMSON	36.44
3286	CRIMSON	36.03
3287	CRIMSON	36.34
3288	CRIMSON	36.71
3289	CRIMSON	35.74
3290	CRIMSON	36.72
3291	CRIMSON	35.19
3292	CRIMSON	35.66
3293	CRIMSON	36.29
3294	CRIMSON	34.49
3295	CRIMSON	35.38
3296	CRIMSON	35.2
3297	CRIMSON	34.99
3298	CRIMSON	35.35
3299	CRIMSON	33.99
3300	CRIMSON	35.04
3301	CRIMSON	34.2
3302	CRIMSON	34.33
3303	CRIMSON	34.49
3304	CRIMSON	35.4
3305	CRIMSON	34.1
3306	CRIMSON	36.38
3307	CRIMSON	35.01
3308	CRIMSON	36.58
3309	CRIMSON	36.17
3310	CRIMSON	35.79
3311	CRIMSON	36.2
3312	CRIMSON	36.11
3313	CRIMSON	35.78
3314	CRIMSON	35.83
3315	CRIMSON	36.16
3316	CRIMSON	36.09
3317	CRIMSON	35.61
3318	CRIMSON	34.45
3319	CRIMSON	35.57
3320	CRIMSON	35.44
3321	CRIMSON	36.14
3322	CRIMSON	34.25
3323	CRIMSON	34.55
3324	CRIMSON	33.11
3325	CRIMSON	34.51
3326	CRIMSON	32.64
3327	CRIMSON	34.74
3328	CRIMSON	35.11
3329	CRIMSON	35.58
3330	CRIMSON	36.14
3331	CRIMSON	35.4
3332	CRIMSON	35.01
3537	CRIMSON	35.13
3538	CRIMSON	35.41
3539	CRIMSON	34.81
3540	CRIMSON	35.02
3541	CRIMSON	34.71
3542	CRIMSON	33.79
3543	CRIMSON	35.26
3544	CRIMSON	35.34
3545	CRIMSON	33.76
3546	CRIMSON	34.22
3547	CRIMSON	35.22
3548	CRIMSON	33.5
