#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	F2
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
273	CRIMSON	31.56
274	CRIMSON	33.03
275	CRIMSON	32.43
276	CRIMSON	33.17
277	CRIMSON	32.85
278	CRIMSON	30.32
279	CRIMSON	30.28
280	CRIMSON	32.93
281	CRIMSON	32.92
282	CRIMSON	31.62
283	CRIMSON	31.93
284	CRIMSON	35.04
285	CRIMSON	35.74
286	CRIMSON	36.98
287	CRIMSON	36.29
288	CRIMSON	35.01
289	CRIMSON	35.27
290	CRIMSON	36.3
291	CRIMSON	34.35
292	CRIMSON	35.73
293	CRIMSON	35.04
294	CRIMSON	34.19
295	CRIMSON	34.53
296	CRIMSON	34.98
297	CRIMSON	33.73
298	CRIMSON	33.79
299	CRIMSON	31.1
300	CRIMSON	33.33
301	CRIMSON	33.97
302	CRIMSON	36.59
303	CRIMSON	34.61
304	CRIMSON	35.51
305	CRIMSON	35.66
306	CRIMSON	35.55
307	CRIMSON	37.14
308	CRIMSON	36.04
309	CRIMSON	35.46
310	CRIMSON	35.79
311	CRIMSON	35.44
312	CRIMSON	36.35
313	CRIMSON	36.5
314	CRIMSON	34.81
315	CRIMSON	34
316	CRIMSON	36.61
317	CRIMSON	34.46
318	CRIMSON	35.33
319	CRIMSON	36.07
320	CRIMSON	34.53
321	CRIMSON	35.41
322	CRIMSON	34.92
323	CRIMSON	32.45
324	CRIMSON	33.18
325	CRIMSON	33.1
326	CRIMSON	31.39
327	CRIMSON	36.06
328	CRIMSON	35.92
329	CRIMSON	35.17
330	CRIMSON	36.62
331	CRIMSON	36.4
332	CRIMSON	35.75
333	CRIMSON	36.17
334	CRIMSON	36.25
335	CRIMSON	36.29
336	CRIMSON	35.85
337	CRIMSON	36.05
338	CRIMSON	35.83
339	CRIMSON	36.13
546	CRIMSON	32.74
547	CRIMSON	34.32
548	CRIMSON	34.56
549	CRIMSON	34.33
550	CRIMSON	34.45
551	CRIMSON	32.98
552	CRIMSON	35.3
553	CRIMSON	33.65
554	CRIMSON	33.56
555	CRIMSON	33.6
556	CRIMSON	34.51
557	CRIMSON	32.42
558	CRIMSON	32.85
559	CRIMSON	32.3
560	CRIMSON	30.59
561	CRIMSON	33.86
562	CRIMSON	34.24
563	CRIMSON	35.41
564	CRIMSON	35.55
565	CRIMSON	34.63
566	CRIMSON	34.44
567	CRIMSON	34.82
568	CRIMSON	33.47
569	CRIMSON	34.96
570	CRIMSON	34.15
571	CRIMSON	35.18
572	CRIMSON	33.89
573	CRIMSON	32.01
574	CRIMSON	34.33
575	CRIMSON	33.33
576	CRIMSON	34.04
577	CRIMSON	33.68
578	CRIMSON	31.64
579	CRIMSON	33.47
580	CRIMSON	32.8
581	CRIMSON	33.47
582	CRIMSON	32.92
583	CRIMSON	35.07
584	CRIMSON	35.76
585	CRIMSON	36.05
586	CRIMSON	33.82
587	CRIMSON	37.26
588	CRIMSON	35.17
589	CRIMSON	35.9
590	CRIMSON	33.42
591	CRIMSON	35.96
592	CRIMSON	35.63
593	CRIMSON	36.37
594	CRIMSON	34.2
595	CRIMSON	36.41
596	CRIMSON	34.28
597	CRIMSON	34.67
598	CRIMSON	34.69
599	CRIMSON	35.45
600	CRIMSON	34.09
601	CRIMSON	34.39
602	CRIMSON	32.83
603	CRIMSON	34.21
604	CRIMSON	33.08
605	CRIMSON	34.38
606	CRIMSON	32.91
607	CRIMSON	35.35
608	CRIMSON	33.56
609	CRIMSON	34.59
610	CRIMSON	30.57
611	CRIMSON	35.18
612	CRIMSON	34.79
817	CRIMSON	31.11
818	CRIMSON	35.43
819	CRIMSON	34.06
820	CRIMSON	33.53
821	CRIMSON	32.56
822	CRIMSON	34.39
823	CRIMSON	32.71
824	CRIMSON	32.06
825	CRIMSON	34.66
826	CRIMSON	34.3
827	CRIMSON	33.99
828	CRIMSON	35.09
829	CRIMSON	34.26
830	CRIMSON	35.64
831	CRIMSON	35.5
832	CRIMSON	34.42
833	CRIMSON	33.08
834	CRIMSON	35.01
835	CRIMSON	33.63
836	CRIMSON	32.38
837	CRIMSON	33.57
838	CRIMSON	33.36
839	CRIMSON	34.8
840	CRIMSON	35.24
841	CRIMSON	31.94
842	CRIMSON	35
843	CRIMSON	34.33
844	CRIMSON	35.67
845	CRIMSON	34.44
846	CRIMSON	35.58
847	CRIMSON	35.09
848	CRIMSON	34.28
849	CRIMSON	34.57
850	CRIMSON	34.94
851	CRIMSON	32.29
852	CRIMSON	34.92
853	CRIMSON	34.15
854	CRIMSON	35.16
855	CRIMSON	34.56
856	CRIMSON	33.29
857	CRIMSON	33.92
858	CRIMSON	33.9
859	CRIMSON	33.26
860	CRIMSON	34.9
861	CRIMSON	33.07
862	CRIMSON	33.38
863	CRIMSON	34.73
864	CRIMSON	34.49
865	CRIMSON	34.94
866	CRIMSON	34.37
867	CRIMSON	35.1
868	CRIMSON	35.04
869	CRIMSON	34.48
870	CRIMSON	33.86
871	CRIMSON	34.53
