#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	E2
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
7	CRIMSON	33.83
9	CRIMSON	34.16
10	CRIMSON	35.81
12	CRIMSON	34.39
13	CRIMSON	38.32
16	CRIMSON	38.11
52	CRIMSON	37.07
55	CRIMSON	36.02
273	CRIMSON	30.82
274	CRIMSON	33.6
275	CRIMSON	34.32
276	CRIMSON	34.68
277	CRIMSON	33.77
278	CRIMSON	34.22
279	CRIMSON	34.17
280	CRIMSON	33.88
281	CRIMSON	35.58
282	CRIMSON	36.35
283	CRIMSON	36.75
284	CRIMSON	34.61
285	CRIMSON	34.94
286	CRIMSON	34.31
287	CRIMSON	34.29
288	CRIMSON	34.59
289	CRIMSON	34.43
290	CRIMSON	35.72
291	CRIMSON	33.95
292	CRIMSON	32.42
293	CRIMSON	33.8
294	CRIMSON	32.63
295	CRIMSON	35.97
296	CRIMSON	35.85
297	CRIMSON	35.17
298	CRIMSON	35.77
299	CRIMSON	35.82
300	CRIMSON	35.89
301	CRIMSON	38.01
302	CRIMSON	35.39
303	CRIMSON	36.66
304	CRIMSON	35.73
305	CRIMSON	35.57
306	CRIMSON	35.46
307	CRIMSON	35.02
308	CRIMSON	34.9
309	CRIMSON	36.64
310	CRIMSON	34.58
311	CRIMSON	35.46
312	CRIMSON	34.98
313	CRIMSON	33.91
314	CRIMSON	34.39
315	CRIMSON	35.57
316	CRIMSON	33.95
317	CRIMSON	34.65
318	CRIMSON	35.56
319	CRIMSON	32.71
320	CRIMSON	36.14
321	CRIMSON	36.95
322	CRIMSON	36.5
323	CRIMSON	36.4
324	CRIMSON	35.92
325	CRIMSON	37.13
326	CRIMSON	37.24
327	CRIMSON	35.6
328	CRIMSON	36.43
329	CRIMSON	36.42
330	CRIMSON	35.54
331	CRIMSON	36.7
332	CRIMSON	35.65
333	CRIMSON	35.24
334	CRIMSON	35.91
335	CRIMSON	35.78
336	CRIMSON	34.97
337	CRIMSON	34.46
338	CRIMSON	33
339	CRIMSON	34.59
546	CRIMSON	33.67
547	CRIMSON	35.5
548	CRIMSON	34.93
549	CRIMSON	36.31
550	CRIMSON	34.5
551	CRIMSON	34.33
552	CRIMSON	32.86
553	CRIMSON	34.82
554	CRIMSON	33.3
555	CRIMSON	33.11
556	CRIMSON	36.21
557	CRIMSON	35.95
558	CRIMSON	35.99
559	CRIMSON	36.46
560	CRIMSON	35.39
561	CRIMSON	34.8
562	CRIMSON	35.9
563	CRIMSON	35.71
564	CRIMSON	34.92
565	CRIMSON	35.74
566	CRIMSON	34.55
567	CRIMSON	34.62
568	CRIMSON	34.36
569	CRIMSON	35.35
570	CRIMSON	34.72
571	CRIMSON	34.01
