#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	A2
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
2	CRIMSON	35.56
3	CRIMSON	36.61
4	CRIMSON	64.37
5	CRIMSON	33.62
6	CRIMSON	33.93
7	CRIMSON	64.96
8	CRIMSON	34.81
9	CRIMSON	60.29
10	CRIMSON	34.32
11	CRIMSON	33.43
12	CRIMSON	33.05
13	CRIMSON	34.29
14	CRIMSON	68.14
16	CRIMSON	36
274	CRIMSON	34.24
275	CRIMSON	34.47
276	CRIMSON	34.48
277	CRIMSON	36.49
278	CRIMSON	69.15
279	CRIMSON	36.05
280	CRIMSON	35.14
281	CRIMSON	37.31
282	CRIMSON	35.9
283	CRIMSON	37.2
284	CRIMSON	72.59
285	CRIMSON	36.58
286	CRIMSON	36.87
287	CRIMSON	70.1
288	CRIMSON	51.62
289	CRIMSON	35.94
290	CRIMSON	35.57
291	CRIMSON	35.71
292	CRIMSON	63.32
293	CRIMSON	34.87
294	CRIMSON	65.07
295	CRIMSON	36.11
296	CRIMSON	64.9
297	CRIMSON	34.29
298	CRIMSON	35.73
299	CRIMSON	73.06
300	CRIMSON	36.44
301	CRIMSON	36.12
302	CRIMSON	58.47
303	CRIMSON	35.94
304	CRIMSON	35.66
305	CRIMSON	36.6
306	CRIMSON	36.77
307	CRIMSON	69.54
308	CRIMSON	36.58
309	CRIMSON	35.78
310	CRIMSON	36.61
311	CRIMSON	34.91
312	CRIMSON	34.8
313	CRIMSON	36.7
314	CRIMSON	59.49
315	CRIMSON	37.09
316	CRIMSON	36.22
317	CRIMSON	34.37
318	CRIMSON	35.34
319	CRIMSON	68.46
320	CRIMSON	32.92
321	CRIMSON	57.63
322	CRIMSON	36.4
323	CRIMSON	37.15
324	CRIMSON	37.06
325	CRIMSON	36.76
326	CRIMSON	36.18
327	CRIMSON	37.1
328	CRIMSON	36.56
329	CRIMSON	36.94
330	CRIMSON	37.71
331	CRIMSON	35.55
332	CRIMSON	36.03
333	CRIMSON	35.45
334	CRIMSON	35.01
335	CRIMSON	35.77
336	CRIMSON	37.46
337	CRIMSON	71.83
338	CRIMSON	35.39
339	CRIMSON	33.41
546	CRIMSON	37.59
547	CRIMSON	66.3
548	CRIMSON	38.85
549	CRIMSON	36.8
550	CRIMSON	37.43
551	CRIMSON	37.59
552	CRIMSON	37.04
553	CRIMSON	35.8
554	CRIMSON	37.81
555	CRIMSON	63.37
556	CRIMSON	34.96
557	CRIMSON	36.02
558	CRIMSON	36.52
559	CRIMSON	34.71
560	CRIMSON	35.83
561	CRIMSON	37.62
562	CRIMSON	37.37
563	CRIMSON	65.86
564	CRIMSON	38.22
565	CRIMSON	37.98
566	CRIMSON	37.08
567	CRIMSON	38.19
568	CRIMSON	69.47
569	CRIMSON	37.77
570	CRIMSON	36.65
571	CRIMSON	37.16
572	CRIMSON	37.11
573	CRIMSON	36.08
574	CRIMSON	72.4
575	CRIMSON	36.9
576	CRIMSON	37.1
